,MP_asset_symbol,MP_timestamp,MP_price_open,MP_price_high,MP_price_low,MP_price_close,MP_volume,MP_marketcap
57,tether,2020-03-29,0.9995735,1.0,0.999358,1.0,41891748335.44261,4291651284.5904016
58,tether,2020-03-30,0.99936025,1.0,0.9992525,1.0,32157860776.982014,4298897388.168864
59,tether,2020-03-31,0.999147,1.0,0.999147,1.0,43018394294.533485,4303567262.188679
60,tether,2020-04-01,0.998929,1.0,0.9976696666666668,0.9982383333333332,37371758622.055305,4282455239.003254
61,tether,2020-04-02,0.998711,1.0,0.9961923333333332,0.9964766666666668,40351116424.72791,4298464571.519161
62,tether,2020-04-03,0.998493,1.0,0.994715,0.994715,54229506608.48683,6308898014.114253
63,tether,2020-04-04,0.99885,0.9999935,0.99572175,0.99602975,44649563860.51618,6345586550.244182
64,tether,2020-04-05,0.999207,0.999987,0.9967285,0.9973445,38060128235.63738,6341175558.074301
65,tether,2020-04-06,0.999564,0.9999805,0.99773525,0.99865925,34785326791.91161,6357859575.226397
66,tether,2020-04-07,0.999921,0.999974,0.998742,0.999974,56381821883.68184,6348996817.026262
67,tether,2020-04-08,0.999785,0.9999805,0.9988055,0.9999805,55214734210.64167,6337540894.788158
68,tether,2020-04-09,0.999649,0.999987,0.998869,0.999987,49515233520.60701,6342789172.680911
69,tether,2020-04-10,0.999513,0.9999935,0.9989325,0.9999935,43567794450.27886,6351749244.043133
70,tether,2020-04-11,0.999377,1.0,0.998996,1.0,51970144128.44539,6360286245.591112
71,tether,2020-04-12,0.99953275,1.0,0.9982685,1.0,38381907240.91278,6358136925.695003
72,tether,2020-04-13,0.9996885,1.0,0.997541,1.0,43163061139.33908,6360712294.279481
73,tether,2020-04-14,0.99984425,1.0,0.9968135,1.0,48857612973.61726,6342632339.143849
74,tether,2020-04-15,1.0,1.0,0.996086,1.0,41681304662.60718,6353107084.775323
75,tether,2020-04-16,0.999575,1.0,0.9966395,0.99996525,38885674226.81375,6338368646.483199
76,tether,2020-04-17,0.99915,1.0,0.997193,0.9999305,61976472217.65739,6367320936.370214
77,tether,2020-04-18,0.998725,1.0,0.9977465,0.99989575,40776778662.852295,6354943648.30677
