,MP_asset_symbol,MP_timestamp,MP_price_in_stable
6349,osmosis,2021-11-30,5.314621698578305
6350,osmosis,2021-12-01,5.337368393153796
6351,osmosis,2021-12-02,5.343815645279222
6352,osmosis,2021-12-03,5.284217390425223
6353,osmosis,2021-12-04,5.7797707340977045
6354,osmosis,2021-12-05,5.203461151881897
6355,osmosis,2021-12-06,4.685519100527054
6356,osmosis,2021-12-07,4.748184865078891
6357,osmosis,2021-12-08,4.723064352412475
6358,osmosis,2021-12-09,4.952587794592299
6359,osmosis,2021-12-10,4.470915344282181
6360,osmosis,2021-12-11,4.375727845530094
6361,osmosis,2021-12-12,4.520302359321614
6362,osmosis,2021-12-13,4.67996410910924
6363,osmosis,2021-12-14,4.225452296486905
6364,osmosis,2021-12-15,4.295463573400188
6365,osmosis,2021-12-16,4.321699379163923
6366,osmosis,2021-12-17,4.2068899187538715
6367,osmosis,2021-12-18,4.05334971509403
6368,osmosis,2021-12-19,4.344020546065155
6369,osmosis,2021-12-20,4.368231347530322
6370,osmosis,2021-12-21,4.471971704013349
6371,osmosis,2021-12-22,4.770677255488381
6372,osmosis,2021-12-23,5.258626657534385
6373,osmosis,2021-12-24,5.819379360686673
6374,osmosis,2021-12-25,5.578235291151765
6375,osmosis,2021-12-26,5.950219111252309
6376,osmosis,2021-12-27,6.109680910930191
6377,osmosis,2021-12-28,6.070174418129001
6378,osmosis,2021-12-29,5.5764605542284515
6379,osmosis,2021-12-30,5.586628855867644
6380,osmosis,2021-12-31,6.01333923379756
6381,osmosis,2022-01-01,6.258154812997712
6382,osmosis,2022-01-02,6.9762006852771945
6383,osmosis,2022-01-03,6.8449956867122825
6384,osmosis,2022-01-04,7.689790626948057
6385,osmosis,2022-01-05,8.190968803960633
6386,osmosis,2022-01-06,8.062052463676716
6387,osmosis,2022-01-07,8.51108835441945
6388,osmosis,2022-01-08,8.389762508848712
6389,osmosis,2022-01-09,7.900044185545348
6390,osmosis,2022-01-10,8.281326311518837
6391,osmosis,2022-01-11,8.554621882371002
6392,osmosis,2022-01-12,8.969145493635926
6393,osmosis,2022-01-13,9.225703877484895
6394,osmosis,2022-01-14,9.126441938421586
6395,osmosis,2022-01-15,9.584529628288156
6396,osmosis,2022-01-16,9.845341011380166
6397,osmosis,2022-01-17,10.706248822112672
6398,osmosis,2022-01-18,9.840790163870674
6399,osmosis,2022-01-19,9.77823551318917
6400,osmosis,2022-01-20,9.559105349207458
6401,osmosis,2022-01-21,9.90351400088278
6402,osmosis,2022-01-22,8.67040886269006
6403,osmosis,2022-01-23,7.753364766671083
6404,osmosis,2022-01-24,8.638772185812908
6405,osmosis,2022-01-25,8.945985537545189
6406,osmosis,2022-01-26,9.067593323602749
6407,osmosis,2022-01-27,8.472176907429398
6408,osmosis,2022-01-28,7.903275243385968
6409,osmosis,2022-01-29,7.676776311119583
6410,osmosis,2022-01-30,7.583979831432893
6411,osmosis,2022-01-31,7.117970312244205
6412,osmosis,2022-02-01,7.710299391170768
6413,osmosis,2022-02-02,7.984523213026649
6414,osmosis,2022-02-03,7.439424912598749
6415,osmosis,2022-02-04,8.059937643225085
6416,osmosis,2022-02-05,8.617156520398972
6417,osmosis,2022-02-06,8.63592845517517
6418,osmosis,2022-02-07,8.992696628161363
6419,osmosis,2022-02-08,9.27382669516167
6420,osmosis,2022-02-09,8.908085086090141
6421,osmosis,2022-02-10,9.072543055354028
6422,osmosis,2022-02-11,8.684893134202309
6423,osmosis,2022-02-12,8.350820904839894
6424,osmosis,2022-02-13,8.357615951026949
6425,osmosis,2022-02-14,8.153272670831614
6426,osmosis,2022-02-15,8.262279152060767
6427,osmosis,2022-02-16,9.026991969832078
6428,osmosis,2022-02-17,8.873996945133248
6429,osmosis,2022-02-18,8.753052842537052
6430,osmosis,2022-02-19,8.80832087263897
6431,osmosis,2022-02-20,8.772236199240105
6432,osmosis,2022-02-21,8.55324372320285
6433,osmosis,2022-02-22,8.036721913741474
6434,osmosis,2022-02-23,8.32278386245248
6435,osmosis,2022-02-24,8.593941795271238
6436,osmosis,2022-02-25,8.673862413141443
6437,osmosis,2022-02-26,9.145280895105754
6438,osmosis,2022-02-27,9.889136889905524
6439,osmosis,2022-02-28,9.054226480766527
6440,osmosis,2022-03-01,10.002719462771374
6441,osmosis,2022-03-02,10.01862981044197
6442,osmosis,2022-03-03,10.687569711305205
6443,osmosis,2022-03-04,11.16754624711424
6444,osmosis,2022-03-05,10.112764575484467
6445,osmosis,2022-03-06,10.437907040723587
6446,osmosis,2022-03-07,9.631182856061239
6447,osmosis,2022-03-08,9.750973090093641
6448,osmosis,2022-03-09,9.397349980540167
6449,osmosis,2022-03-10,10.103361694164661
6450,osmosis,2022-03-11,9.611656518573971
6451,osmosis,2022-03-12,9.392350751356007
6452,osmosis,2022-03-13,9.198039666291777
6453,osmosis,2022-03-14,8.951213514333991
6454,osmosis,2022-03-15,9.124152140994878
6455,osmosis,2022-03-16,9.07889516182499
6456,osmosis,2022-03-17,9.430905064086016
6457,osmosis,2022-03-18,9.246048673381273
6458,osmosis,2022-03-19,9.18860776303754
6459,osmosis,2022-03-20,9.297527901563141
6460,osmosis,2022-03-21,9.04078453714899
6461,osmosis,2022-03-22,8.833762718147709
6462,osmosis,2022-03-23,8.670934831604717
6463,osmosis,2022-03-24,8.653689900770848
6464,osmosis,2022-03-25,8.635599817233226
6465,osmosis,2022-03-26,8.296448238627459
6466,osmosis,2022-03-27,8.255635387085077
6467,osmosis,2022-03-28,8.406065247409908
6468,osmosis,2022-03-29,8.25724396859369
6469,osmosis,2022-03-30,8.351510528802754
6470,osmosis,2022-03-31,8.40633565057916
6471,osmosis,2022-04-01,8.11510141705864
6472,osmosis,2022-04-02,8.144303540945161
6473,osmosis,2022-04-03,8.55128247923479
6474,osmosis,2022-04-04,8.486946484279134
