,MP_timestamp,MP_price_in_stable
65,2021-03-07,48069592092.34547
66,2021-03-08,48069592092.34547
67,2021-03-09,48084942236.9249
68,2021-03-10,48084942236.9249
69,2021-03-11,48084942236.9249
70,2021-03-12,48084942236.9249
71,2021-03-13,48084942236.9249
72,2021-03-14,48084942236.9249
73,2021-03-15,48084942236.9249
74,2021-03-16,48087508767.50267
75,2021-03-17,48087508767.50267
76,2021-03-18,48087508767.50267
77,2021-03-19,48087508767.50267
78,2021-03-20,48087508767.50267
79,2021-03-21,48087508767.50267
80,2021-03-22,48087508767.50267
81,2021-03-23,48096943109.313614
82,2021-03-24,48096943109.313614
83,2021-03-25,48096943109.313614
84,2021-03-26,48096943109.313614
85,2021-03-27,48096943109.313614
86,2021-03-28,48096943109.313614
87,2021-03-29,48096943109.313614
88,2021-03-30,48137831048.310646
89,2021-03-31,48137831048.310646
90,2021-04-01,48125691026.84982
91,2021-04-02,48123271275.62597
92,2021-04-03,48122798368.73375
93,2021-04-04,48122778214.90478
94,2021-04-05,48122778214.90478
95,2021-04-06,48105102366.340904
96,2021-04-07,48083348631.27533
97,2021-04-08,48033927031.87878
98,2021-04-09,48027762273.73229
99,2021-04-10,48024917315.943
100,2021-04-11,48022765787.69492
101,2021-04-12,48018983343.37732
102,2021-04-13,48013739266.178215
103,2021-04-14,48014564726.71148
104,2021-04-15,48014816255.27959
105,2021-04-16,48014669088.247826
106,2021-04-17,48014669088.247826
107,2021-04-18,48014669088.247826
108,2021-04-19,48014669088.247826
109,2021-04-20,48013326823.54109
110,2021-04-21,48013326823.54109
111,2021-04-22,48013326823.54109
112,2021-04-23,48013326823.54109
113,2021-04-24,48013326823.54109
114,2021-04-25,48013326823.54109
115,2021-04-26,48013326823.54109
116,2021-04-27,48031034727.3559
117,2021-04-28,48031034727.3559
118,2021-04-29,48031034727.3559
119,2021-04-30,48031034727.3559
120,2021-05-01,48031034727.3559
121,2021-05-02,48031034727.3559
122,2021-05-03,48031034727.3559
123,2021-05-04,48089495380.02854
124,2021-05-05,48089495380.02854
125,2021-05-06,48089495380.02854
126,2021-05-07,48089495380.02854
127,2021-05-08,48089495380.02854
128,2021-05-09,48089495380.02854
129,2021-05-10,48089495380.02854
130,2021-05-11,48095466097.83952
131,2021-05-12,48095466097.83952
132,2021-05-13,48095466097.83952
133,2021-05-14,48095466097.83952
134,2021-05-15,48095466097.83952
135,2021-05-16,48095466097.83952
136,2021-05-17,48095466097.83952
137,2021-05-18,48095466097.83952
138,2021-05-19,48171694462.536674
139,2021-05-20,48171694462.536674
140,2021-05-21,48171694462.536674
141,2021-05-22,48171694462.536674
142,2021-05-23,48171694462.536674
143,2021-05-24,48171694462.536674
144,2021-05-25,48171694462.536674
145,2021-05-26,48173920345.43946
146,2021-05-27,48173920345.43946
147,2021-05-28,48173920345.43946
148,2021-05-29,48173920345.43946
149,2021-05-30,48173920345.43946
150,2021-05-31,48173920345.43946
151,2021-06-01,48173920345.43946
152,2021-06-02,48192346382.44296
153,2021-06-03,48192346382.44296
154,2021-06-04,48192346382.44296
155,2021-06-05,48192346382.44296
156,2021-06-06,48192346382.44296
157,2021-06-07,48192346382.44296
158,2021-06-08,48192346382.44296
159,2021-06-09,48198784614.98349
160,2021-06-10,48196152437.48901
161,2021-06-11,48169321805.506195
162,2021-06-12,48160052756.59635
163,2021-06-13,48134793595.79028
164,2021-06-14,48130170955.940056
165,2021-06-15,48123556354.217575
166,2021-06-16,48076028920.20424
167,2021-06-17,48048498329.039604
168,2021-06-18,48048017270.953926
169,2021-06-19,48048017270.953926
170,2021-06-20,48048017270.953926
171,2021-06-21,48048017270.953926
172,2021-06-22,48048017270.953926
173,2021-06-23,48043867040.21271
174,2021-06-24,48043867040.21271
175,2021-06-25,48043867040.21271
176,2021-06-26,48043867040.21271
177,2021-06-27,48043867040.21271
178,2021-06-28,48043867040.21271
179,2021-06-29,48043867040.21271
180,2021-06-30,48025571786.2746
181,2021-07-01,48025571786.2746
182,2021-07-02,48025571786.2746
183,2021-07-03,48025571786.2746
184,2021-07-04,48025571786.2746
185,2021-07-05,48025571786.2746
